id,km_training_group_id,user_id,created_at,created_by
3272,5,2056,2025-09-01 18:20:54,18
3273,5,2057,2025-09-01 18:22:04,18
3274,5,2058,2025-09-01 18:24:33,18
3275,5,2059,2025-09-01 18:24:55,18
3276,5,2060,2025-09-01 18:25:19,18
3277,5,2061,2025-09-01 18:34:23,18
3280,11,2063,2025-09-02 18:49:57,18
3284,11,1892,2025-09-04 10:15:26,18
3285,10,2066,2025-09-04 17:28:15,18
3288,10,2067,2025-09-11 16:21:26,18
3289,10,2068,2025-09-11 16:31:54,18
3290,10,2069,2025-09-11 16:32:24,18
3292,1,2071,2025-09-16 12:20:17,18
3293,1,2060,2025-09-16 12:20:31,18
3295,1,2043,2025-09-16 12:21:02,18
3297,1,2059,2025-09-16 12:21:37,18
3299,10,2073,2025-09-16 16:33:08,18
3303,1,728,2025-10-01 18:37:47,18
3308,1,2072,2025-10-02 11:30:11,18
3310,10,2076,2025-10-07 17:48:32,18
3311,10,2077,2025-10-14 16:24:45,18
3312,1,2078,2025-10-14 17:16:52,264
3313,1,1772,2025-10-14 17:17:51,264
3314,11,2079,2025-10-14 18:38:33,18
3315,1,1942,2025-10-15 14:49:05,18
3317,11,2080,2025-10-21 18:48:19,18
3319,10,2082,2025-10-28 16:25:53,18
3321,1,1985,2025-11-12 18:32:58,7
3324,11,2085,2025-12-02 18:45:35,18
3325,10,2086,2025-12-09 17:33:04,18
3328,11,2089,2026-01-12 15:26:56,18
3329,1,2090,2026-01-12 18:23:57,18
3330,11,1656,2026-01-13 18:47:41,18
3331,11,2091,2026-01-13 18:53:13,18
3333,11,2093,2026-01-15 18:49:39,18
3334,11,2094,2026-01-15 18:49:53,18
3335,1,2095,2026-01-19 20:03:20,18
3337,1,2097,2026-01-26 18:35:06,18
3338,1,2098,2026-01-26 18:35:22,18
3339,11,1846,2026-01-27 18:48:35,18
3340,10,2099,2026-02-03 17:01:55,18
3341,10,2100,2026-02-03 17:02:26,18
3343,11,334,2026-02-10 20:27:18,18
3344,1,2101,2026-02-16 18:34:32,7
3345,1,2102,2026-02-16 18:34:55,7
3346,1,2103,2026-02-16 18:35:15,7
